Date,GPRD
8/22/14,279
8/23/14,177
8/24/14,213
8/25/14,247
8/26/14,180
8/27/14,225
8/28/14,122
8/29/14,114
8/30/14,181
8/31/14,149
9/1/14,173
9/2/14,405
9/3/14,245
9/4/14,386
9/5/14,231
9/6/14,203
9/7/14,144
9/8/14,253
9/9/14,295
9/10/14,143
9/11/14,270
9/12/14,294
9/13/14,98
9/14/14,146
9/15/14,275
9/16/14,349
9/17/14,145
9/18/14,162
9/19/14,212
9/20/14,131
9/21/14,33
9/22/14,103
9/23/14,162
9/24/14,314
9/25/14,231
9/26/14,303
9/27/14,274
9/28/14,84
9/29/14,139
9/30/14,188
10/1/14,119
10/2/14,86
10/3/14,169
10/4/14,151
10/5/14,65
10/6/14,94
10/7/14,94
10/8/14,189
10/9/14,182
10/10/14,144
